happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.3969849246231156,120,0,6,199,71,69,59,0.1708542713567839
0.6634146341463415,69,0,8,205,71,75,59,0.25182926829268293
0.7652582159624414,50,0,11,213,71,83,59,0.2875586854460094
0.8303571428571429,38,0,4,224,71,94,59,0.3325892857142857
0.9166666666666666,19,0,6,228,71,98,59,0.3821271929824561
0.8974358974358975,24,0,7,234,71,104,59,0.38782051282051283
0.9253112033195021,18,0,3,241,71,111,59,0.4045643153526971
0.8975409836065574,25,0,6,244,79,87,78,0.3760245901639344
0.756,61,21,11,250,84,70,96,0.308
0.6833333333333333,76,16,7,240,69,62,109,0.26458333333333334
0.7532467532467533,57,22,11,231,75,63,93,0.3268398268398268
0.8272727272727273,38,0,12,220,83,66,71,0.34375
0.8318965517241379,39,0,10,232,94,67,71,0.35237068965517243
0.8181818181818182,44,0,7,242,98,73,71,0.3517561983471074
0.8473895582329317,38,0,10,249,104,74,71,0.3729919678714859
0.8841698841698842,30,0,14,259,111,77,71,0.39044401544401547
0.9157509157509157,23,0,8,273,114,88,71,0.4198717948717949
0.9110320284697508,25,0,11,281,93,90,98,0.4110320284697509
0.863013698630137,40,19,9,292,81,90,121,0.3771404109589041
0.8191489361702128,51,18,9,282,69,92,121,0.35150709219858156
0.8351648351648352,45,34,12,273,74,90,109,0.36721611721611724
0.7410358565737052,65,0,13,251,78,90,83,0.32768924302788843
0.8068181818181818,51,0,8,264,77,93,94,0.3560606060606061
0.7904411764705882,57,0,4,272,80,94,98,0.3639705882352941
0.8731884057971014,35,0,7,276,84,88,104,0.3867753623188406
0.8621908127208481,39,0,15,283,91,81,111,0.40724381625441697
0.8355704697986577,49,0,12,298,96,88,114,0.4072986577181208
0.867741935483871,41,0,10,310,101,89,120,0.4350806451612903
0.865625,43,27,4,320,99,90,131,0.437109375
0.8585858585858586,42,23,13,297,101,85,111,0.3968855218855219
0.8397212543554007,46,19,9,287,102,86,99,0.3641114982578397
0.8014440433212996,55,6,13,277,103,82,92,0.3447653429602888
0.8415492957746479,45,8,8,284,101,87,96,0.37588028169014087
0.8380281690140845,46,11,12,284,98,91,95,0.3921654929577465
0.8385964912280702,46,4,10,285,95,96,94,0.3732456140350877
0.852233676975945,43,6,5,291,96,91,104,0.38273195876288657
0.8172413793103448,53,7,14,290,100,84,106,0.37801724137931036
0.8417508417508418,47,3,9,297,99,88,110,0.4027777777777778
0.8415841584158416,48,6,14,303,94,93,116,0.4088283828382838
0.8456591639871383,48,11,12,311,98,94,119,0.4059485530546624
0.8461538461538461,48,7,6,312,95,97,120,0.40544871794871795
0.8553054662379421,45,11,10,311,95,90,126,0.40434083601286175
0.832258064516129,52,12,9,310,95,92,123,0.4056451612903226
