happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.45145631067961167,113,0,6,206,79,75,52,0.18385922330097088
0.6509433962264151,74,0,7,212,79,81,52,0.25943396226415094
0.776255707762557,49,0,7,219,79,88,52,0.3230593607305936
0.827433628318584,39,0,8,226,79,95,52,0.3561946902654867
0.8803418803418803,28,0,7,234,79,103,52,0.37713675213675213
0.8962655601659751,25,0,13,241,79,110,52,0.4066390041493776
0.9094488188976378,23,0,5,254,79,123,52,0.4296259842519685
0.9073359073359073,24,0,13,259,79,102,78,0.4107142857142857
0.8125,51,19,7,272,81,90,101,0.36213235294117646
0.7230769230769231,72,25,12,260,75,73,112,0.31201923076923077
0.757085020242915,60,8,7,247,81,79,87,0.3132591093117409
0.7682926829268293,57,0,12,246,88,79,79,0.3241869918699187
0.8333333333333334,43,0,6,258,95,84,79,0.3701550387596899
0.8825757575757576,31,0,10,264,103,82,79,0.3963068181818182
0.8832116788321168,32,0,13,274,110,85,79,0.4051094890510949
0.8745644599303136,36,0,13,287,123,85,79,0.4094076655052265
0.89,33,0,13,300,128,93,79,0.42833333333333334
0.8977635782747604,32,0,12,313,115,93,105,0.4241214057507987
0.8646153846153846,44,26,11,325,97,98,130,0.41807692307692307
0.7935483870967742,64,23,5,310,85,97,128,0.3810483870967742
0.839041095890411,47,30,7,292,86,95,111,0.3959760273972603
0.7955390334572491,55,0,7,269,91,90,88,0.38243494423791824
0.822463768115942,49,0,11,276,90,91,95,0.41032608695652173
0.8153310104529616,53,0,6,287,92,92,103,0.4037456445993031
0.78839590443686,62,0,12,293,98,85,110,0.4023037542662116
0.8459016393442623,47,0,10,305,98,84,123,0.41352459016393445
0.8539682539682539,46,0,5,315,106,81,128,0.4261904761904762
0.871875,41,0,5,320,105,74,141,0.43671875
0.8738461538461538,41,26,17,325,109,68,148,0.4511538461538461
0.8227848101265823,56,25,8,316,102,80,134,0.4098101265822785
0.8361204013377926,49,24,10,299,102,81,116,0.41011705685618727
0.8385964912280702,46,6,13,285,97,84,104,0.40307017543859647
0.8561643835616438,42,7,10,292,102,86,104,0.4349315068493151
0.8711864406779661,38,7,9,295,98,90,107,0.4563559322033898
0.8484848484848485,45,8,11,297,97,87,113,0.4351851851851852
0.86,42,7,9,300,94,88,118,0.42916666666666664
0.8410596026490066,48,13,9,302,86,92,124,0.4234271523178808
0.8557046979865772,43,5,8,298,79,96,123,0.4400167785234899
0.8239202657807309,53,13,8,301,85,87,129,0.4169435215946844
0.8682432432432432,39,7,11,296,88,87,121,0.41596283783783783
0.8533333333333334,44,12,9,300,91,88,121,0.4195833333333333
0.8417508417508418,47,7,11,297,97,84,116,0.4015151515151515
0.840531561461794,48,12,12,301,96,85,120,0.4127906976744186
0.8372093023255814,49,6,7,301,99,88,114,0.4152823920265781
0.8344370860927153,50,10,6,302,98,84,120,0.4234271523178808
0.8322147651006712,50,13,14,298,97,81,120,0.41778523489932884
0.8561872909698997,43,13,9,299,101,86,112,0.43645484949832775
0.847457627118644,45,13,10,295,104,87,104,0.43813559322033896
0.8595890410958904,41,12,10,292,95,89,108,0.4203767123287671
0.8172413793103448,53,11,7,290,98,88,104,0.3961206896551724
0.8181818181818182,52,5,11,286,97,86,103,0.4034090909090909
0.8253424657534246,51,7,9,292,95,86,111,0.4023972602739726
0.8163265306122449,54,7,13,294,97,83,114,0.4119897959183674
0.7966666666666666,61,11,7,300,95,89,116,0.4220833333333333
0.8175675675675675,54,6,12,296,90,90,116,0.40118243243243246
0.8675496688741722,40,12,10,302,95,88,119,0.40480132450331124
0.8566666666666667,43,10,9,300,95,89,116,0.4166666666666667
0.882943143812709,35,5,9,299,97,88,114,0.4188963210702341
0.9042904290429042,29,5,8,303,99,87,117,0.42244224422442245
0.8627450980392157,42,17,12,306,95,88,123,0.3954248366013072
0.8571428571428571,43,8,12,301,97,89,115,0.39285714285714285
0.839344262295082,49,10,10,305,95,92,118,0.39385245901639343
0.8262295081967214,53,13,15,305,96,89,120,0.40737704918032785
0.8241042345276873,54,10,11,307,96,97,114,0.3998371335504886
0.8344155844155844,51,9,9,308,102,96,110,0.40625
0.8376623376623377,50,11,4,308,98,95,115,0.40787337662337664
0.8272425249169435,52,9,10,301,98,90,113,0.41445182724252494
0.8311258278145696,51,9,5,302,97,91,114,0.40852649006622516
0.87248322147651,38,8,7,298,95,88,115,0.39681208053691275
0.8585858585858586,42,8,10,297,100,83,114,0.3968855218855219
0.862876254180602,41,11,15,299,101,81,117,0.415133779264214
0.8712871287128713,39,9,12,303,102,86,115,0.4245049504950495
0.8823529411764706,36,11,10,306,104,83,119,0.4309640522875817
0.8590163934426229,43,12,9,305,108,82,115,0.4057377049180328
0.8509933774834437,45,7,13,302,105,82,115,0.3977649006622517
0.8506493506493507,46,6,8,308,99,91,118,0.38758116883116883
0.8806451612903226,37,14,9,310,100,89,121,0.4064516129032258
0.8295081967213115,52,9,6,305,96,93,116,0.38934426229508196
0.8211920529801324,54,10,12,302,95,92,115,0.3849337748344371
0.7927631578947368,63,10,10,304,93,94,117,0.3692434210526316
0.8125,57,7,11,304,96,89,119,0.37582236842105265
0.801948051948052,61,11,10,308,98,88,122,0.3794642857142857
0.7915309446254072,64,9,9,307,93,88,126,0.38273615635179153
0.8338762214983714,51,13,9,307,91,88,128,0.3953583061889251
0.8085808580858086,58,7,9,303,95,84,124,0.3816006600660066
0.8,61,12,11,305,99,85,121,0.38278688524590165
0.8256578947368421,53,10,10,304,98,87,119,0.37993421052631576
0.8651315789473685,41,9,11,304,99,91,114,0.4107730263157895
0.8594771241830066,43,9,10,306,104,90,112,0.4150326797385621
0.8631921824104235,42,8,9,307,104,90,113,0.41042345276872966
0.8344155844155844,51,12,7,308,100,88,120,0.4025974025974026
0.8217821782178217,54,12,15,303,98,85,120,0.40264026402640263
0.8333333333333334,51,10,14,306,97,91,118,0.4035947712418301
0.8387096774193549,50,15,9,310,97,96,117,0.41330645161290325
0.8125,57,11,13,304,93,96,115,0.4009046052631579
0.826797385620915,53,9,10,306,96,98,112,0.40604575163398693
0.8403908794788274,49,4,12,307,97,98,112,0.40838762214983715
0.8507936507936508,47,10,14,315,102,99,114,0.403968253968254
0.877742946708464,39,5,8,319,100,103,116,0.3926332288401254
0.8850931677018633,37,7,6,322,99,102,121,0.41032608695652173
0.8660436137071651,43,10,8,321,95,101,125,0.4014797507788162
0.8338557993730408,53,15,10,319,100,94,125,0.39106583072100315
0.7770700636942676,70,12,9,314,105,90,119,0.3980891719745223
0.8070739549839229,60,10,11,311,105,90,116,0.4015273311897106
0.8141025641025641,58,9,13,312,109,88,115,0.3994391025641026
0.8291139240506329,54,13,11,316,108,91,117,0.3935917721518987
0.8503184713375797,47,8,11,314,110,90,114,0.401671974522293
0.8643533123028391,43,9,9,317,113,87,117,0.4160094637223975
0.861198738170347,44,6,14,317,111,88,118,0.41837539432176657
0.8553846153846154,47,12,11,325,108,96,121,0.4157692307692308
0.8734567901234568,41,10,7,324,109,99,116,0.39969135802469136
0.8566978193146417,46,11,9,321,104,96,121,0.3940809968847352
0.8526645768025078,47,10,6,319,99,96,124,0.4122257053291536
0.8634920634920635,43,9,9,315,101,91,123,0.40753968253968254
0.8603174603174604,44,9,13,315,101,87,127,0.3984126984126984
0.8652037617554859,43,9,9,319,102,89,128,0.3894984326018809
0.8714733542319749,41,11,7,319,101,87,131,0.3949843260188088
0.8571428571428571,45,10,7,315,96,85,134,0.4
0.8846153846153846,36,11,7,312,102,78,132,0.40384615384615385
0.8636363636363636,42,10,10,308,107,74,127,0.4005681818181818
0.8961038961038961,32,9,9,308,106,77,125,0.4074675324675325
0.8798701298701299,37,7,6,308,105,77,126,0.40787337662337664
0.8762214983713354,38,15,10,307,102,77,128,0.42630293159609123
0.8443708609271523,47,14,17,302,100,78,124,0.4163907284768212
0.8131147540983606,57,9,13,305,100,82,123,0.40204918032786885
0.8414239482200647,49,13,9,309,98,86,125,0.4085760517799353
0.8590163934426229,43,10,14,305,94,88,123,0.39877049180327867
0.8478964401294499,47,12,9,309,92,95,122,0.39279935275080907
0.8529411764705882,45,14,9,306,85,97,124,0.38848039215686275
0.8538205980066446,44,8,9,301,84,96,121,0.3953488372093023
0.8609271523178808,42,6,12,302,86,96,120,0.402317880794702
0.8766233766233766,38,8,9,308,83,102,123,0.4200487012987013
0.8673139158576052,41,10,6,309,87,101,121,0.42071197411003236
0.8655737704918033,41,9,12,305,95,90,120,0.4122950819672131
0.827922077922078,53,11,8,308,95,89,124,0.3900162337662338
0.8229508196721311,54,13,10,305,95,88,122,0.37254098360655735
0.8377483443708609,49,11,8,302,102,84,116,0.3646523178807947
