happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.24509803921568626,77,0,11,102,32,40,30,0.08946078431372549
0.4336283185840708,64,0,8,113,33,40,40,0.1515486725663717
0.4793388429752066,63,7,11,121,34,36,51,0.17148760330578514
0.416,73,17,7,125,40,30,55,0.148
0.26956521739130435,84,6,18,115,51,26,38,0.10108695652173913
0.3543307086614173,82,0,14,127,48,36,43,0.12893700787401574
0.425531914893617,81,10,15,141,47,39,55,0.16134751773049646
0.5,73,11,4,146,37,47,62,0.1934931506849315
0.4748201438848921,73,11,9,139,44,33,62,0.20953237410071943
0.48905109489051096,70,0,13,137,50,28,59,0.1906934306569343
0.52,72,11,15,150,54,26,70,0.20083333333333334
0.487012987012987,79,12,12,154,51,37,66,0.200487012987013
0.4675324675324675,82,17,5,154,42,40,72,0.18831168831168832
0.5140845070422535,69,11,8,142,41,32,69,0.18838028169014084
0.460431654676259,75,8,9,139,41,25,73,0.1735611510791367
0.4857142857142857,72,11,16,140,49,22,69,0.17857142857142858
0.43448275862068964,82,7,8,145,45,33,67,0.175
0.5205479452054794,70,18,8,146,40,33,73,0.19863013698630136
0.49264705882352944,69,14,12,136,34,32,70,0.17647058823529413
0.4552238805970149,73,15,8,134,38,28,68,0.16884328358208955
0.47244094488188976,67,4,8,127,41,28,58,0.1830708661417323
0.45038167938931295,72,9,13,131,41,28,62,0.1898854961832061
0.4222222222222222,78,13,9,135,44,29,62,0.1712962962962963
0.40458015267175573,78,15,8,131,36,30,65,0.16984732824427481
0.3467741935483871,81,12,11,124,36,30,58,0.1431451612903226
0.34146341463414637,81,5,4,123,41,28,54,0.12601626016260162
0.38524590163934425,75,8,5,122,38,23,61,0.14959016393442623
0.40336134453781514,71,9,10,119,38,20,61,0.16176470588235295
0.325,81,16,10,120,41,19,60,0.13854166666666667
0.2719298245614035,83,8,11,114,32,25,57,0.10526315789473684
0.3333333333333333,78,8,9,117,28,31,58,0.11752136752136752
0.3898305084745763,72,12,6,118,30,30,58,0.1451271186440678
0.36607142857142855,71,8,4,112,29,26,57,0.12723214285714285
0.32407407407407407,73,8,9,108,36,19,53,0.11458333333333333
0.3669724770642202,69,13,10,109,40,19,50,0.14793577981651376
0.330188679245283,71,9,6,106,36,23,47,0.125
0.27184466019417475,75,8,6,103,30,25,48,0.11407766990291263
0.21782178217821782,79,11,6,101,28,22,51,0.0853960396039604
0.25,72,4,5,96,29,18,49,0.09895833333333333
0.30927835051546393,67,5,5,97,29,17,51,0.125
0.38144329896907214,60,10,9,97,31,16,50,0.14690721649484537
0.34375,63,10,4,96,28,19,49,0.1171875
0.32222222222222224,61,11,9,90,23,18,49,0.10833333333333334
0.3068181818181818,61,9,7,88,22,22,44,0.11931818181818182
0.3023255813953488,60,6,2,86,25,20,41,0.09302325581395349
0.2804878048780488,59,4,8,82,23,18,41,0.09908536585365854
0.22093023255813954,67,9,12,86,27,17,42,0.10610465116279069
0.30337078651685395,62,10,4,89,29,22,38,0.10112359550561797
0.20481927710843373,66,6,5,83,22,24,37,0.07981927710843373
0.18292682926829268,67,6,5,82,26,21,35,0.08689024390243902
0.2839506172839506,58,6,28,81,29,14,38,0.09876543209876543
0.27184466019417475,75,5,26,103,26,38,39,0.09587378640776699
0.3870967741935484,76,5,23,124,29,59,36,0.12903225806451613
0.4859154929577465,73,9,22,142,26,77,39,0.16725352112676056
0.5096774193548387,76,4,37,155,42,71,42,0.1935483870967742
0.5372340425531915,87,9,55,188,64,82,42,0.21742021276595744
0.6666666666666666,78,7,65,234,82,114,38,0.2676282051282051
0.7705479452054794,67,2,80,292,99,157,36,0.3561643835616438
0.8486486486486486,56,8,16,370,108,200,62,0.4449324324324324
0.8253968253968254,66,12,12,378,137,161,80,0.39384920634920634
0.8148148148148148,70,4,4,378,179,108,91,0.3912037037037037
0.8068783068783069,73,5,5,378,237,32,109,0.4007936507936508
0.873015873015873,48,5,5,378,216,21,141,0.47784391534391535
0.8650793650793651,51,28,20,378,173,14,191,0.4861111111111111
0.8378378378378378,60,26,8,370,112,30,228,0.4540540540540541
0.7982954545454546,71,23,5,352,37,33,282,0.4509943181818182
0.8562874251497006,48,22,3,334,26,33,275,0.5452844311377245
0.8634920634920635,43,37,4,315,34,16,265,0.5369047619047619
0.8156028368794326,52,55,6,282,38,12,232,0.4787234042553192
0.8111587982832618,44,65,4,233,38,13,182,0.4216738197424893
0.7151162790697675,49,80,5,172,36,14,122,0.31468023255813954
0.3711340206185567,61,16,2,97,20,15,62,0.12371134020618557
0.3493975903614458,54,12,2,83,18,11,54,0.12951807228915663
0.3424657534246575,48,4,4,73,17,9,47,0.14726027397260275
0.3424657534246575,48,5,4,73,19,8,46,0.13013698630136986
0.4027777777777778,43,5,5,72,17,10,45,0.14756944444444445
0.4027777777777778,43,20,3,72,13,13,46,0.13194444444444445
0.14545454545454545,47,8,3,55,13,12,30,0.03636363636363636
0.2,40,5,1,50,12,11,27,0.055
0.2608695652173913,34,3,4,46,15,7,24,0.059782608695652176
0.2127659574468085,37,4,5,47,16,8,23,0.07180851063829788
0.22916666666666666,37,6,4,48,15,10,23,0.0625
0.17391304347826086,38,4,2,46,12,13,21,0.04891304347826087
0.13636363636363635,38,5,2,44,11,11,22,0.045454545454545456
0.07317073170731707,38,2,3,41,13,8,20,0.027439024390243903
0.11904761904761904,37,2,4,42,14,7,21,0.01488095238095238
0.20454545454545456,35,4,6,44,15,9,20,0.048295454545454544
0.2391304347826087,35,4,3,46,13,13,20,0.04076086956521739
0.28888888888888886,32,5,4,45,11,13,21,0.06111111111111111
0.22727272727272727,34,3,3,44,11,13,20,0.06818181818181818
0.18181818181818182,36,3,3,44,15,10,19,0.03977272727272727
0.1590909090909091,37,1,1,44,16,10,18,0.028409090909090908
0.20454545454545456,35,4,3,44,17,7,20,0.045454545454545456
0.11627906976744186,38,5,3,43,16,7,20,0.03197674418604651
0.07317073170731707,38,4,2,41,13,7,21,0.027439024390243903
0.10256410256410256,35,2,2,39,11,8,20,0.035256410256410256
0.1282051282051282,34,2,3,39,10,7,22,0.028846153846153848
0.125,35,3,3,40,10,7,23,0.034375
0.2,32,4,3,40,9,8,23,0.0375
0.15384615384615385,33,6,2,39,10,9,20,0.035256410256410256
0.2,28,3,4,35,10,8,17,0.039285714285714285
0.2222222222222222,28,4,2,36,10,9,17,0.059027777777777776
0.17647058823529413,28,3,3,34,11,8,15,0.029411764705882353
0.17647058823529413,28,3,2,34,11,9,14,0.025735294117647058
0.12121212121212122,29,1,4,33,12,7,14,0.015151515151515152
0.19444444444444445,29,3,1,36,11,9,16,0.04861111111111111
0.20588235294117646,27,3,2,34,11,7,16,0.029411764705882353
0.18181818181818182,27,2,8,33,11,7,15,0.030303030303030304
0.15384615384615385,33,2,3,39,11,11,17,0.028846153846153848
0.125,35,3,2,40,10,13,17,0.040625
0.20512820512820512,31,3,1,39,9,13,17,0.038461538461538464
0.16216216216216217,31,3,6,37,15,6,16,0.02027027027027027
0.125,35,2,2,40,14,9,17,0.025
0.1,36,4,3,40,15,9,16,0.03125
0.1282051282051282,34,2,4,39,14,11,14,0.02564102564102564
0.17073170731707318,34,3,1,41,12,9,20,0.04573170731707317
0.23076923076923078,30,2,2,39,11,8,20,0.060897435897435896
0.28205128205128205,28,4,3,39,12,7,20,0.10576923076923077
