happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.16842105263157894,79,0,2,95,21,39,35,0.07763157894736843
0.35051546391752575,63,0,9,97,32,24,41,0.12628865979381443
0.4056603773584906,63,13,6,106,31,24,51,0.14504716981132076
0.3939393939393939,60,10,14,99,39,17,43,0.13257575757575757
0.4563106796116505,56,12,18,103,41,29,33,0.16140776699029127
0.4036697247706422,65,0,7,109,33,38,38,0.15940366972477063
0.3706896551724138,73,6,4,116,30,39,47,0.13577586206896552
0.3684210526315789,72,10,8,114,31,29,54,0.15460526315789475
0.44642857142857145,62,5,9,112,47,19,46,0.14397321428571427
0.49137931034482757,59,0,10,116,45,21,50,0.17564655172413793
0.4603174603174603,68,17,10,126,43,27,56,0.1636904761904762
0.36134453781512604,76,9,11,119,37,29,53,0.1334033613445378
0.256198347107438,90,13,8,121,28,31,62,0.10640495867768596
0.33620689655172414,77,2,6,116,31,29,56,0.1271551724137931
0.4,72,9,7,120,37,25,58,0.16145833333333334
0.3728813559322034,74,6,10,118,40,21,57,0.15148305084745764
0.36885245901639346,77,14,9,122,39,23,60,0.14959016393442623
0.38461538461538464,72,18,8,117,35,26,56,0.13354700854700854
0.3177570093457944,73,7,11,107,32,27,48,0.11448598130841121
0.34234234234234234,73,4,12,111,31,28,52,0.11936936936936937
0.3445378151260504,78,8,13,119,32,31,56,0.11764705882352941
0.3548387096774194,80,9,9,124,34,36,54,0.13306451612903225
0.3629032258064516,79,10,10,124,38,34,52,0.13205645161290322
0.4032258064516129,74,10,9,124,40,32,52,0.16028225806451613
0.3821138211382114,76,11,13,123,44,28,51,0.16869918699186992
0.328,84,8,14,125,45,32,48,0.133
0.37404580152671757,82,6,15,131,44,36,51,0.12786259541984732
0.42857142857142855,80,7,9,140,41,42,57,0.15803571428571428
0.528169014084507,67,10,9,142,41,38,63,0.19190140845070422
0.48936170212765956,72,9,13,141,46,33,62,0.19060283687943264
0.43448275862068964,82,8,7,145,51,31,63,0.16637931034482759
0.5069444444444444,71,11,17,144,51,29,64,0.18836805555555555
0.5133333333333333,73,12,12,150,47,37,66,0.19416666666666665
0.4666666666666667,80,13,10,150,46,36,68,0.17583333333333334
0.40816326530612246,87,9,5,147,38,39,70,0.17006802721088435
0.5034965034965035,71,10,15,143,46,27,70,0.1896853146853147
0.46621621621621623,79,9,8,148,49,30,69,0.18496621621621623
0.4897959183673469,75,13,12,147,46,28,73,0.179421768707483
0.4246575342465753,84,14,11,146,44,35,67,0.1678082191780822
0.44755244755244755,79,15,14,143,42,31,70,0.16433566433566432
0.4154929577464789,83,9,20,142,38,37,67,0.16901408450704225
0.49019607843137253,78,9,6,153,40,45,68,0.19852941176470587
0.4866666666666667,77,13,8,150,46,40,64,0.20916666666666667
0.4482758620689655,80,7,3,145,45,34,66,0.19051724137931034
0.425531914893617,81,17,14,141,57,17,67,0.16843971631205673
0.463768115942029,74,12,11,138,51,25,62,0.18478260869565216
0.4233576642335766,79,10,10,137,48,28,61,0.16423357664233576
0.49635036496350365,69,5,9,137,37,35,65,0.177007299270073
0.48936170212765956,72,15,11,141,31,30,80,0.1879432624113475
0.4306569343065693,78,8,12,137,36,30,71,0.1633211678832117
0.524822695035461,67,12,33,141,38,32,71,0.19326241134751773
0.5308641975308642,76,11,42,162,44,56,62,0.19753086419753085
0.6787564766839378,62,14,34,193,41,87,65,0.2545336787564767
0.6901408450704225,66,20,38,213,42,109,62,0.29401408450704225
0.70995670995671,67,6,51,231,65,114,52,0.30627705627705626
0.7028985507246377,82,8,78,276,98,123,55,0.29483695652173914
0.8034682080924855,68,3,35,346,121,167,58,0.3796965317919075
0.8386243386243386,61,14,14,378,147,164,67,0.40906084656084657
0.8201058201058201,68,11,11,378,165,127,86,0.38227513227513227
0.7645502645502645,89,10,10,378,201,60,117,0.353505291005291
0.783068783068783,82,9,9,378,202,35,141,0.38492063492063494
0.8624338624338624,52,11,11,378,178,30,170,0.47354497354497355
0.8465608465608465,58,12,12,378,138,30,210,0.46296296296296297
0.7777777777777778,84,33,6,378,70,32,276,0.44775132275132273
0.7692307692307693,81,42,3,351,44,29,278,0.452991452991453
0.7948717948717948,64,34,6,312,41,21,250,0.47996794871794873
0.7746478873239436,64,38,5,284,42,15,227,0.47139084507042256
0.7609561752988048,60,51,4,251,38,14,199,0.4158366533864542
0.7107843137254902,59,78,2,204,32,15,157,0.3272058823529412
0.515625,62,35,3,128,27,11,90,0.208984375
0.4583333333333333,52,14,2,96,20,9,67,0.16796875
0.44047619047619047,47,11,0,84,18,7,59,0.16071428571428573
0.4246575342465753,42,10,2,73,17,5,51,0.1643835616438356
0.3384615384615385,43,9,2,65,14,4,47,0.12692307692307692
0.29310344827586204,41,11,1,58,11,4,43,0.10775862068965517
0.2916666666666667,34,12,1,48,7,5,36,0.0859375
0.08108108108108109,34,6,1,37,7,4,26,0.04054054054054054
0.28125,23,3,1,32,6,3,23,0.08984375
0.16666666666666666,25,6,2,30,5,3,22,0.0625
0.15384615384615385,22,5,0,26,6,4,16,0.052884615384615384
0.19047619047619047,17,4,1,21,5,3,13,0.041666666666666664
0.05555555555555555,17,2,0,18,4,3,11,0.020833333333333332
0.125,14,3,2,16,5,1,10,0.015625
0.06666666666666667,14,2,2,15,4,3,8,0.016666666666666666
0.13333333333333333,13,0,3,15,4,4,7,0.0
0.1111111111111111,16,2,0,18,3,7,8,0.0
0.125,14,2,1,16,3,5,8,0.0078125
0.13333333333333333,13,1,1,15,5,4,6,0.0
0.06666666666666667,14,1,3,15,7,2,6,0.0
0.0,17,1,2,17,7,5,5,0.007352941176470588
0.16666666666666666,15,1,2,18,6,6,6,0.013888888888888888
0.3684210526315789,12,2,0,19,5,7,7,0.05263157894736842
0.35294117647058826,11,0,2,17,5,4,8,0.08823529411764706
0.2631578947368421,14,1,2,19,7,4,8,0.07236842105263158
0.3,14,0,5,20,8,4,8,0.0625
0.28,18,2,1,25,7,9,9,0.09
0.25,18,2,1,24,6,8,10,0.0625
0.21739130434782608,18,3,1,23,6,7,10,0.05434782608695652
0.09523809523809523,19,0,2,21,9,3,9,0.02976190476190476
0.13043478260869565,20,1,2,23,10,4,9,0.02717391304347826
0.16666666666666666,20,1,3,24,9,5,10,0.020833333333333332
0.23076923076923078,20,3,3,26,8,7,11,0.028846153846153848
0.11538461538461539,23,2,2,26,5,8,13,0.019230769230769232
0.11538461538461539,23,2,1,26,6,8,12,0.0
0.24,19,0,2,25,8,6,11,0.01
0.2962962962962963,19,2,4,27,10,5,12,0.018518518518518517
0.2413793103448276,22,2,4,29,10,7,12,0.03017241379310345
0.1935483870967742,25,5,2,31,9,10,12,0.04032258064516129
0.25,21,1,0,28,8,10,10,0.026785714285714284
0.18518518518518517,22,1,3,27,9,6,12,0.013888888888888888
0.10344827586206896,26,1,2,29,11,5,13,0.01293103448275862
0.1,27,2,4,30,12,5,13,0.016666666666666666
0.15625,27,2,2,32,10,9,13,0.01953125
0.125,28,3,1,32,9,8,15,0.01953125
0.1,27,3,2,30,7,7,16,0.029166666666666667
0.10344827586206896,26,2,1,29,9,5,15,0.034482758620689655
0.10714285714285714,25,1,5,28,11,4,13,0.049107142857142856
0.09375,29,2,3,32,9,8,15,0.03515625
0.09090909090909091,30,4,5,33,9,9,15,0.03409090909090909
0.058823529411764705,32,4,3,34,6,13,15,0.01838235294117647
0.09090909090909091,30,2,0,33,9,11,13,0.026515151515151516
0.06451612903225806,29,0,4,31,11,8,12,0.036290322580645164
0.08571428571428572,32,3,6,35,14,7,14,0.025
0.18421052631578946,31,2,6,38,16,10,12,0.03618421052631579
0.14285714285714285,36,4,2,42,11,16,15,0.03571428571428571
0.175,33,2,2,40,12,14,14,0.034375
0.225,31,1,4,40,13,10,17,0.0625
0.09302325581395349,39,2,5,43,16,8,19,0.046511627906976744
0.2608695652173913,34,1,6,46,18,11,17,0.07336956521739131
0.2549019607843137,38,5,5,51,16,15,20,0.08088235294117647
0.11764705882352941,45,3,5,51,14,16,21,0.04656862745098039
0.20754716981132076,42,5,4,53,13,16,24,0.04481132075471698
0.15384615384615385,44,3,7,52,17,14,21,0.06490384615384616
0.08928571428571429,51,0,6,56,20,16,20,0.04017857142857143
0.11290322580645161,55,4,4,62,21,17,24,0.056451612903225805
0.16129032258064516,52,6,4,62,20,17,25,0.06451612903225806
0.16666666666666666,50,6,6,60,21,14,25,0.03958333333333333
0.13333333333333333,52,2,7,60,22,14,24,0.04583333333333333
0.15384615384615385,55,2,8,65,21,17,27,0.057692307692307696
0.2112676056338028,56,4,6,71,21,21,29,0.05457746478873239
0.3150684931506849,50,5,3,73,20,21,32,0.0839041095890411
0.2676056338028169,52,6,9,71,21,17,33,0.08626760563380281
0.2972972972972973,52,5,9,74,25,18,31,0.08783783783783784
0.3076923076923077,54,5,6,78,27,21,30,0.08814102564102565
0.17721518987341772,65,4,7,79,24,24,31,0.060126582278481014
0.2804878048780488,59,7,3,82,26,22,34,0.08079268292682927
0.2564102564102564,58,6,8,78,27,16,35,0.07371794871794872
0.1625,67,4,10,80,27,18,35,0.075
0.23255813953488372,66,4,7,86,31,21,34,0.09447674418604651
0.3595505617977528,57,6,7,89,25,25,39,0.12780898876404495
0.25555555555555554,67,7,5,90,24,24,42,0.09861111111111111
0.32954545454545453,59,8,12,88,28,19,41,0.10511363636363637
0.32608695652173914,62,6,10,92,28,24,40,0.11277173913043478
0.23958333333333334,73,3,8,96,32,27,37,0.09114583333333333
0.2871287128712871,72,9,11,101,29,30,42,0.09158415841584158
0.3106796116504854,71,9,5,103,31,29,43,0.1104368932038835
0.3434343434343434,65,6,7,99,34,24,41,0.11616161616161616
0.37,63,7,11,100,35,23,42,0.1375
0.40384615384615385,62,3,16,104,41,23,40,0.1346153846153846
0.4188034188034188,68,8,3,117,34,34,49,0.14743589743589744
0.4732142857142857,59,10,6,112,31,30,51,0.16183035714285715
0.4074074074074074,64,7,7,108,34,25,49,0.1412037037037037
0.3333333333333333,72,7,8,108,39,16,53,0.1087962962962963
0.3761467889908257,68,5,11,109,37,21,51,0.13646788990825687
0.3826086956521739,71,12,9,115,36,26,53,0.11956521739130435
0.3482142857142857,73,10,7,112,32,28,52,0.12276785714285714
0.3853211009174312,67,8,6,109,24,27,58,0.13761467889908258
0.32710280373831774,72,11,2,107,32,22,53,0.10864485981308411
0.37755102040816324,61,5,10,98,35,15,48,0.11734693877551021
0.34951456310679613,67,7,9,103,35,18,50,0.11529126213592233
0.5142857142857142,51,11,8,105,33,21,51,0.16071428571428573
0.4215686274509804,59,16,7,102,24,27,51,0.15318627450980393
0.24731182795698925,70,3,5,93,25,24,44,0.10349462365591398
0.3263157894736842,64,6,7,95,27,20,48,0.11578947368421053
0.3125,66,7,7,96,29,19,48,0.11067708333333333
0.3541666666666667,62,8,11,96,34,19,43,0.11848958333333333
0.32323232323232326,67,11,8,99,29,25,45,0.11363636363636363
0.25,72,9,8,96,27,26,43,0.08463541666666667
0.3157894736842105,65,7,11,95,26,27,42,0.1
0.30303030303030304,69,6,6,99,30,27,42,0.11994949494949494
0.3333333333333333,66,2,5,99,33,25,41,0.1275252525252525
0.3627450980392157,65,10,7,102,34,22,46,0.13112745098039216
0.2222222222222222,77,9,9,99,38,18,43,0.08712121212121213
0.26262626262626265,73,8,5,99,33,21,45,0.10606060606060606
0.34375,63,7,8,96,30,21,45,0.12760416666666666
0.3711340206185567,61,5,2,97,29,22,46,0.11469072164948453
0.40425531914893614,56,7,4,94,27,15,52,0.11702127659574468
0.38461538461538464,56,7,6,91,26,14,51,0.1346153846153846
0.3888888888888889,55,11,9,90,29,12,49,0.13055555555555556
0.3181818181818182,60,8,5,88,24,19,45,0.11221590909090909
0.3058823529411765,59,8,3,85,19,20,46,0.1264705882352941
0.2875,57,11,6,80,20,17,43,0.1109375
0.21333333333333335,59,6,8,75,21,14,40,0.07833333333333334
0.2727272727272727,56,5,8,77,24,17,36,0.11038961038961038
0.3125,55,7,6,80,23,22,35,0.0890625
0.2911392405063291,56,9,7,79,23,22,34,0.1060126582278481
0.2077922077922078,61,5,5,77,22,21,34,0.07142857142857142
0.2077922077922078,61,8,6,77,25,18,34,0.06493506493506493
0.18666666666666668,61,2,13,75,28,18,29,0.06
0.22093023255813954,67,4,9,86,29,24,33,0.07848837209302326
0.34065934065934067,60,6,9,91,26,28,37,0.10027472527472528
0.3723404255319149,59,9,7,94,24,31,39,0.1077127659574468
0.34782608695652173,60,5,5,92,31,25,36,0.10190217391304347
0.2608695652173913,68,3,6,92,33,21,38,0.08831521739130435
0.3368421052631579,63,6,10,95,37,18,40,0.09473684210526316
0.3434343434343434,65,8,7,99,38,21,40,0.1111111111111111
