,happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0,0.2399589239423156,76.8,0.0,6.0,101.4,29.4,39.6,32.4,0.09929322898750145
1,0.40392348213294416,63.8,0.0,8.2,107.4,31.4,33.2,42.8,0.1472573744008832
2,0.4198264477660705,66.8,10.2,8.8,115.6,33.6,29.2,52.8,0.15071033911771475
3,0.3957379641878925,68.6,10.6,9.6,114.2,39.6,23.0,51.6,0.13435761923394635
4,0.3806001078419129,70.0,11.6,13.6,113.2,45.6,26.6,41.0,0.1319758507653777
5,0.40509573886032485,68.6,0.0,11.0,115.2,41.4,32.0,41.8,0.14417248334584423
6,0.4383593582609938,71.0,10.4,10.0,126.2,38.0,34.2,54.0,0.15301354611955897
7,0.4111965616626203,73.8,10.0,6.6,125.8,32.6,34.6,58.6,0.15886658306672602
8,0.4314473831806868,69.8,9.0,9.2,122.4,40.2,27.6,54.6,0.1592835496667984
9,0.43330836203958045,69.4,0.0,11.4,122.6,43.0,25.8,53.8,0.15573883171958222
10,0.4234791498520313,76.8,12.4,10.8,134.0,44.2,27.2,62.6,0.1599198278181329
11,0.40476961499331016,78.0,12.2,9.0,132.4,41.2,31.4,59.8,0.15603231827548317
12,0.39774575079053326,77.0,15.0,9.6,129.2,36.8,31.2,61.2,0.14671497520008323
13,0.38427965133360875,74.6,6.0,6.8,123.8,37.2,29.4,57.2,0.1398620526167322
14,0.4313638038517098,70.0,8.2,9.0,124.6,38.0,25.4,61.2,0.16551555394286346
15,0.4359963779540312,69.8,8.8,11.4,125.4,40.4,25.4,59.6,0.17133356484154547
16,0.40991298542848725,75.2,9.6,10.4,128.0,40.8,27.2,60.0,0.16669972689128937
17,0.4331175633089024,72.6,13.6,8.2,128.8,36.2,30.8,61.8,0.16008523746368247
18,0.4304877219938737,69.6,11.0,8.6,123.4,34.4,30.0,59.0,0.15325142706291364
19,0.41953816082818013,69.4,10.0,10.6,121.0,36.8,27.2,57.0,0.14820456719055547
20,0.39977883751734167,72.4,6.6,10.4,121.6,37.6,27.4,56.6,0.14689412518435302
21,0.42701239757582793,71.0,9.2,10.2,125.4,39.0,29.6,56.8,0.16108721931907666
22,0.42557272451579475,71.8,11.4,8.2,126.4,38.6,31.2,56.6,0.1566249133393349
23,0.41765358475668934,70.2,10.8,10.2,123.2,37.8,28.8,56.6,0.15672391816023076
24,0.3769182444431297,75.0,9.0,11.6,122.6,37.8,28.6,56.2,0.15243472783851858
25,0.35951889606529064,79.0,9.6,8.6,125.2,39.8,30.0,55.4,0.1405630052533514
26,0.38820699992725877,74.8,6.8,8.0,124.2,39.4,30.4,54.4,0.14516328138153492
27,0.4142026291233165,72.6,9.0,8.8,125.4,39.0,28.2,58.2,0.15217765051662938
28,0.4133633561271072,70.6,11.4,11.8,125.2,40.2,25.4,59.6,0.15862335370141392
29,0.41599202066873203,71.0,10.4,11.8,125.6,38.6,28.6,58.4,0.157634379383368
30,0.4084638161284809,72.6,8.2,8.6,127.0,38.4,32.4,56.2,0.1493103061932973
31,0.44208743840164094,68.6,8.6,10.4,127.4,37.0,32.2,58.2,0.16430023661095566
32,0.44179908278561725,68.8,10.6,8.4,129.2,37.2,30.8,61.2,0.15940514308370926
33,0.3806776565193978,74.6,10.4,11.2,127.0,40.4,27.4,59.2,0.14836633968790852
34,0.40211629992412223,73.6,10.2,9.0,127.8,41.0,30.0,56.8,0.15790258739903493
35,0.4591166266960697,65.8,8.2,9.2,126.6,42.6,28.6,55.4,0.1687689513071894
36,0.4240641954840984,70.0,10.2,8.4,127.6,39.2,29.4,59.0,0.160317773435947
37,0.36971902883091745,73.8,11.6,10.2,125.8,38.6,26.6,60.6,0.14031636675193587
38,0.3805050934337138,72.6,8.6,6.4,124.4,39.0,27.8,57.6,0.1444144722786511
39,0.3833767416241643,70.8,8.0,9.4,122.2,37.8,25.0,59.4,0.14745678817369995
40,0.4002623746924604,69.8,8.8,12.6,123.6,37.8,26.0,59.8,0.1550767987424006
41,0.39176905314517396,73.0,11.8,7.2,127.4,36.8,28.4,62.2,0.14565392891290146
42,0.38739962213200985,68.0,11.8,8.0,122.8,34.2,29.2,59.4,0.14381226067921354
43,0.38567383580115006,67.8,8.6,8.8,119.0,34.4,27.8,56.8,0.14954922626389275
44,0.3986012356644929,66.6,10.4,8.8,119.2,38.6,24.0,56.6,0.14596571068503295
45,0.4292706279943969,62.2,8.4,8.4,117.6,35.6,25.6,56.4,0.1571557419741187
46,0.38757270736058935,67.0,11.2,10.0,117.6,37.2,26.0,54.4,0.14463681207880266
47,0.39744587421095623,65.8,9.0,8.8,116.4,36.6,27.2,52.6,0.14118808550186485
48,0.3554173924284152,69.0,9.2,9.4,116.2,32.8,27.2,56.2,0.13724908910053743
49,0.35118887258723963,70.4,8.4,8.8,116.4,34.0,28.2,54.2,0.14045157982703926
50,0.3938784210582291,65.8,10.2,32.6,116.8,36.0,27.0,53.8,0.13950278030117413
51,0.4057619819313206,75.6,6.4,32.6,139.2,36.0,50.8,52.4,0.15048599972084192
52,0.5282908443260244,68.4,9.4,31.0,165.4,36.6,74.0,54.8,0.1953248846312848
53,0.5982048462907018,65.4,12.6,32.0,187.0,37.0,96.2,53.8,0.23823361025844542
54,0.6032828562277691,72.0,7.2,45.6,206.4,59.6,95.6,51.2,0.2492477907177475
