,happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0,0.5551181102362205,113,0,26,254,78,53,123,0.20570866141732283
1,0.6857142857142857,88,42,23,280,79,53,148,0.26875
2,0.6628352490421456,88,26,27,261,78,49,134,0.24616858237547892
3,0.6221374045801527,99,26,27,262,79,50,133,0.23091603053435114
4,0.6159695817490495,101,29,27,263,76,54,133,0.25522813688212925
5,0.6551724137931034,90,25,25,261,76,54,131,0.2653256704980843
6,0.6283524904214559,97,28,18,261,77,52,132,0.24808429118773948
7,0.6095617529880478,98,25,28,251,81,43,127,0.25
8,0.6535433070866141,88,26,25,254,79,46,129,0.26131889763779526
9,0.5968379446640316,102,27,24,253,70,53,130,0.25296442687747034
10,0.656,86,26,18,250,71,49,130,0.253
11,0.6033057851239669,96,23,22,242,71,42,129,0.24586776859504134
12,0.6348547717842323,88,27,29,241,77,40,124,0.25933609958506226
13,0.5761316872427984,103,27,21,243,67,51,125,0.23765432098765432
14,0.6118143459915611,92,27,17,237,64,50,123,0.2563291139240506
15,0.5682819383259912,98,25,22,227,69,38,120,0.2422907488986784
16,0.5892857142857143,92,18,23,224,72,39,113,0.23939732142857142
17,0.5851528384279476,95,28,22,229,67,45,117,0.24836244541484717
18,0.5426008968609866,102,25,22,223,60,45,118,0.22141255605381166
19,0.5181818181818182,106,24,25,220,62,44,114,0.21079545454545454
20,0.5746606334841629,94,18,18,221,67,47,107,0.22737556561085973
21,0.6153846153846154,85,22,18,221,67,43,111,0.2330316742081448
22,0.5714285714285714,93,29,19,217,69,36,112,0.21831797235023043
23,0.5362318840579711,96,21,20,207,65,37,105,0.22946859903381642
24,0.5097087378640777,101,17,22,206,61,39,106,0.21055825242718446
25,0.5402843601895735,97,22,20,211,55,42,114,0.2268957345971564
26,0.5741626794258373,89,23,24,209,57,42,110,0.229066985645933
27,0.5714285714285714,90,22,27,210,61,44,105,0.22142857142857142
28,0.5581395348837209,95,22,21,215,62,51,102,0.20930232558139536
29,0.5794392523364486,90,25,19,214,66,48,100,0.21845794392523366
30,0.6009615384615384,83,18,23,208,71,40,97,0.2325721153846154
31,0.5492957746478874,96,18,23,213,72,42,99,0.22241784037558684
32,0.5642201834862385,95,19,16,218,67,46,105,0.22190366972477063
33,0.5906976744186047,88,20,20,215,63,39,113,0.2255813953488372
34,0.6046511627906976,85,22,20,215,65,36,114,0.2505813953488372
35,0.568075117370892,92,20,23,213,62,40,111,0.232981220657277
36,0.5555555555555556,96,24,20,216,59,43,114,0.22453703703703703
37,0.5613207547169812,93,27,16,212,56,43,113,0.2275943396226415
38,0.48756218905472637,103,21,24,201,63,36,102,0.22512437810945274
39,0.5196078431372549,98,19,20,204,63,40,101,0.22365196078431374
40,0.4926829268292683,104,23,24,205,59,44,102,0.21341463414634146
41,0.5533980582524272,92,23,17,206,60,44,102,0.20145631067961164
42,0.54,92,16,22,200,60,41,99,0.209375
43,0.587378640776699,85,20,22,206,68,39,99,0.21723300970873785
44,0.5673076923076923,90,20,25,208,61,44,103,0.22295673076923078
45,0.5023474178403756,106,23,27,213,63,47,103,0.20833333333333334
46,0.5207373271889401,104,20,15,217,61,52,104,0.21255760368663595
47,0.5707547169811321,91,16,22,212,69,42,101,0.22346698113207547
48,0.5458715596330275,99,24,28,218,74,37,107,0.22821100917431192
49,0.527027027027027,105,20,23,222,67,50,105,0.21171171171171171
50,0.5955555555555555,91,24,17,225,64,51,110,0.24
51,0.5321100917431193,102,17,25,218,65,40,113,0.2213302752293578
52,0.6061946902654868,89,22,23,226,73,42,111,0.2461283185840708
53,0.6079295154185022,89,22,22,227,68,48,111,0.2433920704845815
54,0.5374449339207048,105,25,17,227,65,45,117,0.21861233480176212
55,0.589041095890411,90,27,20,219,65,39,115,0.23573059360730594
56,0.5754716981132075,90,15,11,212,70,37,105,0.23702830188679244
57,0.5913461538461539,85,22,16,208,62,31,115,0.25060096153846156
58,0.5247524752475248,96,28,18,202,59,27,116,0.22400990099009901
59,0.5520833333333334,86,23,15,192,48,34,110,0.22395833333333334
60,0.5489130434782609,83,17,20,184,47,33,104,0.22826086956521738
61,0.48663101604278075,96,25,13,187,45,35,107,0.20254010695187166
62,0.46285714285714286,94,23,16,175,49,33,93,0.18642857142857142
63,0.43452380952380953,95,22,13,168,53,29,86,0.17336309523809523
64,0.4025157232704403,95,17,10,159,48,29,82,0.15723270440251572
65,0.4144736842105263,89,20,17,152,49,23,80,0.15296052631578946
66,0.40268456375838924,89,11,14,149,42,27,80,0.1552013422818792
67,0.3618421052631579,97,16,12,152,39,31,82,0.14967105263157895
68,0.4594594594594595,80,18,13,148,40,26,82,0.1883445945945946
69,0.43356643356643354,81,15,12,143,41,25,77,0.1547202797202797
70,0.4714285714285714,74,20,13,140,43,25,72,0.16964285714285715
71,0.3308270676691729,89,13,13,133,39,25,69,0.14567669172932332
72,0.39849624060150374,80,16,8,133,37,26,70,0.14943609022556392
73,0.328,84,13,12,125,38,21,66,0.12
74,0.29838709677419356,87,10,10,124,38,20,66,0.11391129032258064
75,0.3709677419354839,78,17,14,124,34,22,68,0.15725806451612903
76,0.2975206611570248,85,14,8,121,33,24,64,0.11776859504132231
77,0.34782608695652173,75,12,10,115,30,22,63,0.14891304347826087
78,0.30973451327433627,78,13,16,113,36,18,59,0.125
79,0.3103448275862069,80,12,15,116,32,26,58,0.11961206896551724
80,0.3949579831932773,72,13,10,119,32,31,56,0.12394957983193278
81,0.35344827586206895,75,13,11,116,34,25,57,0.12176724137931035
82,0.37719298245614036,71,8,19,114,41,21,52,0.1513157894736842
83,0.376,78,12,16,125,41,30,54,0.132
84,0.3333333333333333,86,10,8,129,36,35,58,0.13372093023255813
85,0.41732283464566927,74,14,14,127,40,24,63,0.12992125984251968
86,0.4251968503937008,73,8,16,127,46,22,59,0.14271653543307086
87,0.42962962962962964,77,10,16,135,43,30,62,0.1527777777777778
88,0.3617021276595745,90,16,10,141,38,32,71,0.1347517730496454
89,0.34814814814814815,88,15,12,135,38,26,71,0.13333333333333333
