happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.18556701030927836,79,0,4,97,37,34,26,0.07603092783505154
0.26732673267326734,74,0,5,101,37,38,26,0.09282178217821782
0.3113207547169811,73,0,5,106,37,43,26,0.11202830188679246
0.43243243243243246,63,0,4,111,37,48,26,0.14752252252252251
0.6434782608695652,41,0,1,115,37,52,26,0.23478260869565218
0.6982758620689655,35,0,3,116,37,53,26,0.2704741379310345
0.7478991596638656,30,0,1,119,37,56,26,0.296218487394958
0.7166666666666667,34,0,4,120,37,47,36,0.2916666666666667
0.6935483870967742,38,12,2,124,32,41,51,0.2651209677419355
0.4824561403508772,59,3,3,114,34,29,51,0.17653508771929824
0.4298245614035088,65,11,7,114,38,28,48,0.14473684210526316
0.38181818181818183,68,0,10,110,43,30,37,0.1534090909090909
0.425,69,0,6,120,48,35,37,0.171875
0.5238095238095238,60,0,4,126,52,37,37,0.19940476190476192
0.6076923076923076,51,0,6,130,53,40,37,0.2403846153846154
0.6691176470588235,45,0,6,136,56,43,37,0.27481617647058826
0.7112676056338029,41,0,7,142,57,48,37,0.30721830985915494
0.7516778523489933,37,0,6,149,51,51,47,0.3263422818791946
0.6967741935483871,47,10,3,155,43,55,57,0.29838709677419356
0.6351351351351351,54,15,3,148,32,55,61,0.25844594594594594
0.5661764705882353,59,12,6,136,35,51,50,0.1957720588235294
0.5076923076923077,64,0,2,130,40,47,43,0.1798076923076923
0.553030303030303,59,0,6,132,41,43,48,0.1903409090909091
0.5869565217391305,57,0,5,138,41,45,52,0.2128623188405797
0.6083916083916084,56,0,7,143,46,44,53,0.21153846153846154
0.66,51,0,7,150,49,45,56,0.235
0.7006369426751592,47,0,4,157,55,45,57,0.25238853503184716
0.7142857142857143,46,0,7,161,57,43,61,0.2670807453416149
0.6964285714285714,51,10,7,168,58,47,63,0.2693452380952381
0.6787878787878788,53,10,4,165,58,51,56,0.2553030303030303
0.5974842767295597,64,14,2,159,57,49,53,0.23349056603773585
0.6122448979591837,57,4,2,147,49,49,49,0.23214285714285715
0.5793103448275863,61,5,3,145,49,45,51,0.20086206896551725
0.6153846153846154,55,5,3,143,50,43,50,0.22115384615384615
0.5602836879432624,62,4,8,141,51,39,51,0.2154255319148936
0.496551724137931,73,1,3,145,52,40,53,0.18620689655172415
0.5850340136054422,61,3,5,147,49,39,59,0.23299319727891157
0.6375838926174496,54,1,7,149,50,37,62,0.24412751677852348
0.6645161290322581,52,4,5,155,54,37,64,0.27903225806451615
0.6602564102564102,53,2,6,156,55,38,63,0.3060897435897436
0.66875,53,3,2,160,51,42,67,0.28203125
0.7232704402515723,44,7,4,159,51,42,66,0.2908805031446541
0.7307692307692307,42,10,3,156,48,43,65,0.2844551282051282
0.6845637583892618,47,6,4,149,46,43,60,0.2600671140939597
0.6666666666666666,49,4,2,147,47,39,61,0.2568027210884354
0.5793103448275863,61,6,6,145,43,38,64,0.2439655172413793
0.5586206896551724,64,6,3,145,44,39,62,0.2336206896551724
0.5985915492957746,57,7,7,142,44,35,63,0.21830985915492956
0.5774647887323944,60,6,2,142,42,37,63,0.20422535211267606
0.5579710144927537,61,3,3,138,44,33,61,0.2028985507246377
0.6014492753623188,55,3,34,138,44,34,60,0.22826086956521738
0.6863905325443787,53,6,33,169,46,64,59,0.25
0.7551020408163265,48,2,38,196,46,94,56,0.2653061224489796
0.7586206896551724,56,6,36,232,47,128,57,0.31842672413793105
0.8053435114503816,51,5,33,262,41,162,59,0.37166030534351147
0.8379310344827586,47,7,37,290,44,189,57,0.4232758620689655
0.865625,43,7,32,320,42,223,55,0.46953125
0.9043478260869565,33,4,34,345,42,248,55,0.5289855072463768
0.8853333333333333,43,7,10,375,39,280,56,0.5616666666666666
0.9074074074074074,35,7,7,378,36,287,55,0.5830026455026455
0.9285714285714286,27,4,4,378,68,260,50,0.5555555555555556
0.91005291005291,34,2,2,378,97,231,50,0.48578042328042326
0.9126984126984127,33,2,2,378,132,195,51,0.4494047619047619
0.91005291005291,34,3,3,378,164,161,53,0.4279100529100529
0.8941798941798942,40,3,3,378,195,131,52,0.43452380952380953
0.8835978835978836,44,8,8,378,226,97,55,0.45535714285714285
0.8968253968253969,39,3,3,378,255,73,50,0.5003306878306878
0.8677248677248677,50,5,5,378,282,42,54,0.5248015873015873
0.8624338624338624,52,7,7,378,290,37,51,0.5701058201058201
0.8809523809523809,45,5,5,378,294,37,47,0.5892857142857143
0.8677248677248677,50,6,6,378,264,38,76,0.5519179894179894
0.8571428571428571,54,2,2,378,233,42,103,0.49074074074074076
0.8835978835978836,44,4,4,378,197,42,139,0.4708994708994709
0.8888888888888888,42,3,3,378,164,43,171,0.44113756613756616
0.8703703703703703,49,4,4,378,134,43,201,0.43683862433862436
0.8783068783068783,46,2,2,378,105,39,234,0.4652777777777778
0.8518518518518519,56,6,6,378,76,38,264,0.48743386243386244
0.8174603174603174,69,3,3,378,47,39,292,0.4930555555555556
0.8544973544973545,55,7,6,378,44,35,299,0.5681216931216931
0.843501326259947,59,2,3,377,42,36,299,0.5699602122015915
0.8518518518518519,56,3,3,378,44,33,301,0.5856481481481481
0.8677248677248677,50,34,5,378,44,34,300,0.5972222222222222
0.8424068767908309,55,33,5,349,46,35,268,0.5351002865329513
0.8193146417445483,58,38,1,321,46,37,238,0.48208722741433024
0.8098591549295775,54,36,7,284,47,34,203,0.4278169014084507
0.807843137254902,49,33,4,255,41,39,175,0.3764705882352941
0.7876106194690266,48,37,3,226,44,37,145,0.3407079646017699
0.7604166666666666,46,32,8,192,42,37,113,0.2825520833333333
0.6607142857142857,57,34,3,168,41,39,88,0.24032738095238096
0.5985401459854015,55,10,2,137,39,39,59,0.21441605839416059
0.5736434108527132,55,7,2,129,36,38,55,0.2005813953488372
0.5161290322580645,60,4,7,124,39,35,50,0.18548387096774194
0.49606299212598426,64,2,4,127,40,37,50,0.18405511811023623
0.6124031007751938,50,2,3,129,38,40,51,0.2180232558139535
0.6384615384615384,47,3,8,130,41,36,53,0.24134615384615385
0.6,54,3,4,135,43,40,52,0.2074074074074074
0.6323529411764706,50,8,5,136,40,41,55,0.22058823529411764
0.5789473684210527,56,3,1,133,45,38,50,0.19736842105263158
0.5954198473282443,53,5,4,131,42,36,53,0.20229007633587787
0.6076923076923076,51,7,0,130,41,38,51,0.20961538461538462
0.6504065040650406,43,5,5,123,40,36,47,0.22967479674796748
0.6178861788617886,47,6,2,123,42,34,47,0.21747967479674796
0.5966386554621849,48,2,3,119,41,32,46,0.20168067226890757
0.625,45,4,5,120,43,32,45,0.221875
0.5702479338842975,52,3,6,121,44,29,48,0.21074380165289255
0.4838709677419355,64,4,4,124,44,31,49,0.18649193548387097
