,happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0,0.20482944753143778,76.0,0.0,2.8,95.8,31.0,34.6,30.2,0.08604257170627608
1,0.34247350888898254,64.6,0.0,4.0,98.6,31.0,37.4,30.2,0.12111183565777543
2,0.43502689035356734,58.2,0.0,3.8,102.6,31.0,41.4,30.2,0.15507373180555917
3,0.5078730297850852,52.4,0.0,3.8,106.4,31.0,45.2,30.2,0.17171015787616578
4,0.6056199878611352,43.0,0.0,3.4,110.2,31.0,49.0,30.2,0.2159429923847506
5,0.6602866774610827,38.2,0.0,3.4,113.6,31.0,52.4,30.2,0.24148201383624102
6,0.7188909024325474,32.6,0.0,3.4,117.0,31.0,55.8,30.2,0.2749594513022447
7,0.688282635949245,37.2,0.0,3.6,120.4,32.4,45.6,42.4,0.26820094517385495
8,0.6027831412689382,48.8,11.0,2.4,124.0,32.2,39.6,52.2,0.22573347587054254
9,0.48630402237777276,59.2,9.4,3.0,115.4,34.6,30.6,50.2,0.18110749036860335
10,0.4257600685807124,62.2,9.8,4.4,109.0,37.4,30.8,40.8,0.15506875088626768
11,0.4298265419989943,58.6,0.0,5.0,103.6,41.4,31.2,31.0,0.15590401552321304
12,0.5005067011948571,54.2,0.0,5.2,108.6,45.2,32.4,31.0,0.1822035454380248
13,0.5524082023716202,50.6,0.0,6.0,113.8,49.0,33.8,31.0,0.1997243582564983
14,0.5870356213510504,48.8,0.0,4.8,119.8,52.4,36.4,31.0,0.225122780043271
15,0.6282525214723357,45.6,0.0,6.6,124.6,55.8,37.8,31.0,0.25235127488610465
16,0.677043527665836,41.8,0.0,7.0,131.2,59.2,41.0,31.0,0.26870933894780596
17,0.6772641418983701,43.8,0.0,4.8,138.2,49.2,44.4,44.6,0.2718330306904132
18,0.6195748124213728,53.6,12.2,2.4,143.0,42.0,46.8,54.2,0.24266447920200762
19,0.5857494573690268,54.2,9.8,2.2,133.2,33.6,46.2,53.4,0.2165401769815664
20,0.5688443057968398,52.6,9.0,3.6,125.6,35.2,44.0,46.4,0.2064866556869387
21,0.5425504346562456,54.0,0.0,2.4,120.2,36.2,42.6,41.4,0.19458333769068023
22,0.5580480225207312,53.0,0.0,2.6,122.6,37.6,39.8,45.2,0.1956094809460825
23,0.5618546116661125,53.8,0.0,3.4,125.2,39.8,36.4,49.0,0.20649040560162005
24,0.5688796513827803,54.4,0.0,5.6,128.6,41.2,35.0,52.4,0.2131423666029423
25,0.5975407407407408,53.0,0.0,4.6,134.2,44.4,34.0,55.8,0.23282777777777777
26,0.6225684618017931,51.2,0.0,6.2,138.8,48.0,31.6,59.2,0.2393591134336474
27,0.6059197064278734,56.2,0.0,6.0,145.0,49.2,33.0,62.8,0.24361121980218683
28,0.6186930576426375,56.6,13.6,4.2,151.0,49.2,36.6,65.2,0.2520578720998889
29,0.60401388066669,54.6,9.6,2.8,141.6,48.4,38.6,54.6,0.22326959736061408
30,0.5761001880018762,55.8,11.4,3.4,134.8,47.6,37.8,49.4,0.21066348727160542
31,0.5911511653841865,50.2,2.8,3.6,126.8,45.0,38.8,43.0,0.2158994730679157
32,0.5883412449552845,51.6,4.0,3.6,127.6,42.4,39.8,45.4,0.2115590199144573
33,0.5748075643287339,53.0,3.8,3.4,127.2,39.8,40.0,47.4,0.21082141094871024
34,0.550773347406742,55.6,3.8,5.0,126.8,40.6,37.8,48.4,0.2007079030734694
35,0.5220224787854897,60.2,3.4,3.4,128.0,38.6,38.2,51.2,0.19077330809872003
36,0.5097376895795401,61.0,3.4,3.0,128.0,37.8,35.4,54.8,0.1885814755294823
37,0.5210761068643013,59.4,3.4,3.8,127.6,39.0,32.4,56.2,0.19061879877886756
38,0.588481391300869,51.6,3.6,4.4,128.0,40.8,32.0,55.2,0.22121982115284453
39,0.5876230493072598,52.4,2.4,4.8,128.8,41.4,33.6,53.8,0.23033843292395922
